case_id,task_type,score,accuracy_score,time_score,elapsed_time
6G5nFKGZEQtRmKtwYNrZHk,mtmmc_MotionReasoning,1,1,0,95.6
STBTLSTCz3idDVkLG7m2qm,mtmmc_SpatialReasoning,1,1,0,51.3
YdSKMhib7zGgV58FLX5h2y,mtmmc_SpatialReasoning,1,1,0,18.8
bwKyPknJnEjvujBmrg7nMy,mtmmc_SpatialReasoning,1,1,0,23.7
a53GFstdrZaLN8Dn4hTpKq,mtmmc_SpatialReasoning,1,1,0,26.8
nx2usSQTrgfgHNVaycwvCU,mtmmc_SpatialReasoning,1,1,0,22.1
X2C6ZDAxwWfmAd4fPJTnov,mtmmc_SpatialReasoning,1,1,0,124.2
ZKpno7wJEbgZrqPD633uDW,mtmmc_SpatialReasoning,1,1,0,77.8
TbsCcZS5HTPPbbA6TNiMER,mtmmc_SpatialReasoning,1,1,0,32
GuHfk6HuR3EAgKx5JE76d4,mtmmc_SpatialReasoning,1,1,0,23
Pkyndy5oYpfvSbapHGGX7T,mtmmc_SpatialReasoning,1,1,0,26.9
ZtLHQw96MdB2VwjAV845QK,mtmmc_TemporalReasoning,1,1,0,44
Ytros5EYyPFVS8gMJFcbTh,mtmmc_TemporalReasoning,1,1,0,66.4
aFKjwrz49uGJsdkBmUboh2,mtmmc_TemporalReasoning,1,1,0,105
MmXsdWu6SENSmijLBVqq3q,mtmmc_TemporalReasoning,1,1,0,29.1
ZNTWGbxNdqZ2mqpis29QLg,mtmmc_TemporalReasoning,1,1,0,87.3
kgrRKxb9DYKrFwGmqWHzSx,mtmmc_TemporalReasoning,0,0,0,138.3
CeDGeLrJSUgTHWdKuZUqJg,mtmmc_TemporalReasoning,1,1,0,92
FbNxMZHorriapeKsYo3JQD,mtmmc_TemporalReasoning,1,1,0,41.1
dXE5mWRdoUig9W4TAfb8vN,mtmmc_TemporalReasoning,1,1,0,100.4
ThTUYbBBwzPDA7wTHhYxwu,mtmmc_TemporalReasoning,1,1,0,46
Zc7Y3Uc9FcCvVr9hNYrhet,mtmmc_TimelineInference,1,1,0,407.4
42yJyaoH7ZDoevCYYuSXNG,mtmmc_TimelineInference,1,1,0,19.5
Y2YGDTSA9brQ4vRKGnWZvP,mtmmc_TimelineInference,1,1,0,7.3
koAZUdUAehoitn5JMz3qHq,mtmmc_TimelineInference,1,1,0,8.6
NEhPbmk5tGk34gqEgTr6wo,mtmmc_TimelineInference,1,1,0,17.9
WzkXD4gcUwnLQSydQqzDG6,mtmmc_TimelineInference,1,1,0,31.3
LvaHeyWiM8qeJZbepotqPh,mtmmc_TimelineInference,1,1,0,20.2
5XRMyswMZHo2AhaPeNMDHW,mtmmc_TimelineInference,1,1,0,18.3
efJ6FUHMmA8o5HgAXMaV9y,mtmmc_TimelineInference,1,1,0,17.6
dGxuPxDmWaieSiZjQUN5iZ,mtmmc_TimelineInference,1,1,0,3.7
WAAGReEpzGHYNLDT2hmsAn,mtmmc_NextCameraForecasting,0.65,1,0.65,18
TUjrUQGa9x9XpdMyRpxSZ2,mtmmc_NextCameraForecasting,0.57,1,0.57,54.3
TTxKP4aUzcRNLXjMwsiCWx,mtmmc_NextCameraForecasting,0.77,1,0.77,295.2
9misJeWB7Yv5BBan6AencZ,mtmmc_NextCameraForecasting,0.3,1,0.3,304.6
VUPgEemeP2sVzPoiucmjNd,mtmmc_NextCameraForecasting,0.65,1,0.65,238.3
HCkAmK2iizLLxfRYQAD7cY,mtmmc_NextCameraForecasting,0,1,0,83.9
SCXjXGmeqxMDDAFs4dUHdx,mtmmc_NextCameraForecasting,0,1,0,102.5
jdybPsUj5HkeiSL2bjmB4W,mtmmc_NextCameraForecasting,0.73,1,0.73,114.7
32iaxzQTxxaMjhz3Psix2n,mtmmc_NextCameraForecasting,0,1,0,273.2
D9FBPKA4MXX2scwtfPit9z,mtmmc_NextCameraForecasting,0.51,1,0.51,236.3
UsY5sppLiHBpKMAZebBF9e,mtmmc_MultiTrajectoryForecasting,0.09,1,0.09,86.8
XbtAnrwni9x7yJAScZ75HS,mtmmc_MultiTrajectoryForecasting,0,1,0,208.8
5DtmYtVQmdojFWaR9U2RzA,mtmmc_MultiTrajectoryForecasting,0.34,1,0.34,60
XKCXdupy27jvMAAh55iaBX,mtmmc_MultiTrajectoryForecasting,0,1,0,380.8
3evs2v87fu4AqcBRzNbbyt,mtmmc_MultiTrajectoryForecasting,0.79,1,0.79,244.3
VWGM8G9RH6nvNqbC8YSuhc,mtmmc_MultiTrajectoryForecasting,0.14,1,0.14,843.6
m6JUqLDmbpkUXcE2P8MaEW,mtmmc_MultiTrajectoryForecasting,0.3,1,0.3,190.6
ByTC3rfjAntcCTo2mobaqN,mtmmc_MultiTrajectoryForecasting,0.59,1,0.59,525.6
eWkpNTwc3gZQUjxrqvc2x3,mtmmc_MultiTrajectoryForecasting,0.07,1,0.07,112.5
adioiFGrCfYAdmU3odcrus,mtmmc_MultiTrajectoryForecasting,0,0,0,94.4
bvkRrY82qj2VowVKhkruVN,mtmmc_TrajectoryForecasting,0.26,1,0.26,92.4
ByTC3rfjAntcCTo2mobaqN,mtmmc_MultiTrajectoryForecasting,0,0,0,4.1
DZX4CVanddFZPeczsC7PLP,mtmmc_TrajectoryForecasting,0.25,1,0.25,20.3
jGrZmBNAwct7wHNkWL6n8b,mtmmc_TrajectoryForecasting,0,1,0,47.8
Xatcxh7MUw5m6iYnog5gSG,mtmmc_TrajectoryForecasting,0.1,1,0.1,2611.7
NykKwJTy99ZuicFuo2RKmZ,mtmmc_TrajectoryForecasting,0.29,1,0.29,58.9
8VmgX5heUyWfQVmEfkHq8G,mtmmc_TrajectoryForecasting,0.46,1,0.46,95.3
nscH3GEGNxVweB9GsUJkmi,mtmmc_TrajectoryForecasting,0,1,0,132.3
8D8rWvEvJCwHQhuRXYGofg,mtmmc_TrajectoryForecasting,0.46,1,0.46,65.7
HSgsQTEbqKVSNWmA6s3Ykr,mtmmc_TrajectoryForecasting,0.34,1,0.34,95.1
2HFBpeoDuj5EcomoPNz3on,mtmmc_TrajectoryForecasting,0.25,1,0.25,66.8
